start_time,end_time,duration_sec,src_ip,dst_ip,protocol,src_port,dst_port,bytes,packets
2025-09-08 09:37:41.532032,2025-09-08 09:40:31.532032,170,10.0.2.169,172.16.8.40,TCP,80,80,269145,307
2025-09-08 08:53:30.532032,2025-09-08 08:53:46.532032,16,10.0.3.173,172.16.7.117,TCP,22,110,162780,137
2025-09-08 20:27:50.532032,2025-09-08 20:29:43.532032,113,10.0.1.245,172.16.9.134,UDP,110,3389,143715,132
2025-09-09 01:22:23.532032,2025-09-09 01:23:40.532032,77,10.0.3.225,172.16.7.3,ICMP,80,25,230074,237
2025-09-09 07:18:17.532032,2025-09-09 07:23:00.532032,283,10.0.5.162,172.16.2.179,TCP,3389,25,597135,870
2025-09-08 16:33:58.532032,2025-09-08 16:38:04.532032,246,10.0.0.116,172.16.8.136,TCP,25,80,333915,303
2025-09-08 19:32:57.532032,2025-09-08 19:34:53.532032,116,10.0.1.230,172.16.8.192,UDP,443,22,661234,641
2025-09-09 01:01:35.532032,2025-09-09 01:05:09.532032,214,10.0.9.252,172.16.0.191,TCP,53,25,803740,1458
2025-09-09 01:29:27.532032,2025-09-09 01:31:37.532032,130,10.0.4.168,172.16.2.199,ICMP,3389,25,660325,444
2025-09-09 06:14:14.532032,2025-09-09 06:18:21.532032,247,10.0.2.173,172.16.5.200,UDP,22,53,722094,1583
2025-09-08 22:36:16.532032,2025-09-08 22:37:38.532032,82,10.0.7.158,172.16.4.61,TCP,3389,53,722574,2346
2025-09-09 08:04:50.532032,2025-09-09 08:06:59.532032,129,10.0.4.79,172.16.7.92,UDP,3389,22,425275,3604
2025-09-08 21:20:30.532032,2025-09-08 21:20:40.532032,10,10.0.5.56,172.16.8.21,ICMP,110,110,589811,2499
2025-09-08 23:10:30.532032,2025-09-08 23:14:52.532032,262,10.0.8.125,172.16.1.224,ICMP,22,3389,402689,529
2025-09-08 09:30:04.532032,2025-09-08 09:31:15.532032,71,10.0.5.69,172.16.7.153,UDP,22,80,253066,201
2025-09-09 00:29:38.532032,2025-09-09 00:30:59.532032,81,10.0.3.165,172.16.3.16,ICMP,80,110,64667,48
2025-09-08 21:24:04.532032,2025-09-08 21:28:49.532032,285,10.0.4.5,172.16.8.155,UDP,22,80,514330,474
2025-09-08 12:40:11.532032,2025-09-08 12:42:29.532032,138,10.0.9.166,172.16.5.35,UDP,22,3389,82320,462
2025-09-08 19:01:56.532032,2025-09-08 19:03:47.532032,111,10.0.1.56,172.16.7.90,UDP,25,53,623431,476
2025-09-08 16:42:51.532032,2025-09-08 16:47:08.532032,257,10.0.9.10,172.16.5.168,UDP,443,110,755155,721
2025-09-09 07:43:38.532032,2025-09-09 07:44:01.532032,23,10.0.9.20,172.16.1.46,TCP,110,53,901899,885
2025-09-08 14:36:52.532032,2025-09-08 14:41:42.532032,290,10.0.2.95,172.16.9.216,ICMP,3389,110,395895,309
2025-09-09 02:16:19.532032,2025-09-09 02:20:28.532032,249,10.0.8.36,172.16.3.80,ICMP,80,3389,950380,1806
2025-09-08 22:04:23.532032,2025-09-08 22:08:12.532032,229,10.0.6.13,172.16.10.129,UDP,110,3389,572794,614
2025-09-09 07:14:17.532032,2025-09-09 07:18:04.532032,227,10.0.5.241,172.16.6.213,TCP,22,80,276060,1237
2025-09-08 23:10:43.532032,2025-09-08 23:12:15.532032,92,10.0.10.14,172.16.8.164,UDP,110,22,64532,59
2025-09-08 15:53:02.532032,2025-09-08 15:57:14.532032,252,10.0.3.226,172.16.4.93,UDP,3389,3389,302933,614
2025-09-08 10:23:01.532032,2025-09-08 10:23:37.532032,36,10.0.2.170,172.16.9.106,ICMP,80,53,667450,559
2025-09-09 07:13:23.532032,2025-09-09 07:13:36.532032,13,10.0.4.78,172.16.1.73,ICMP,22,25,546793,667
2025-09-08 12:09:44.532032,2025-09-08 12:13:14.532032,210,10.0.5.240,172.16.7.238,TCP,53,22,719611,1029
2025-09-08 22:52:08.532032,2025-09-08 22:52:41.532032,33,10.0.9.72,172.16.5.24,TCP,3389,22,117201,706
2025-09-08 21:31:03.532032,2025-09-08 21:32:38.532032,95,10.0.8.216,172.16.0.194,TCP,443,80,379631,608
2025-09-09 03:07:30.532032,2025-09-09 03:08:52.532032,82,10.0.8.136,172.16.4.245,UDP,25,80,782537,769
2025-09-08 17:15:17.532032,2025-09-08 17:17:36.532032,139,10.0.10.218,172.16.7.49,UDP,22,22,972848,1022
2025-09-08 18:03:33.532032,2025-09-08 18:07:19.532032,226,10.0.2.9,172.16.7.240,UDP,80,443,917972,1022
2025-09-09 05:25:33.532032,2025-09-09 05:26:09.532032,36,10.0.0.64,172.16.6.239,ICMP,3389,443,370089,368
2025-09-09 06:51:14.532032,2025-09-09 06:55:14.532032,240,10.0.3.211,172.16.8.121,TCP,110,80,950761,4977
2025-09-08 11:01:18.532032,2025-09-08 11:05:20.532032,242,10.0.3.188,172.16.8.156,ICMP,3389,53,65380,48
2025-09-08 21:19:31.532032,2025-09-08 21:21:37.532032,126,10.0.3.124,172.16.4.81,ICMP,3389,25,316676,4338
2025-09-09 05:30:51.532032,2025-09-09 05:34:35.532032,224,10.0.7.45,172.16.10.78,UDP,25,22,355504,275
2025-09-08 22:04:13.532032,2025-09-08 22:04:41.532032,28,10.0.0.184,172.16.8.3,TCP,25,53,65890,51
2025-09-08 22:24:08.532032,2025-09-08 22:24:31.532032,23,10.0.2.170,172.16.5.32,TCP,80,80,539805,4152
2025-09-08 11:53:08.532032,2025-09-08 11:58:05.532032,297,10.0.0.126,172.16.5.9,TCP,443,53,609705,458
2025-09-08 12:19:40.532032,2025-09-08 12:21:43.532032,123,10.0.6.15,172.16.3.200,UDP,80,25,927721,954
2025-09-09 05:04:25.532032,2025-09-09 05:05:23.532032,58,10.0.8.177,172.16.6.202,TCP,80,3389,558760,377
2025-09-08 21:50:27.532032,2025-09-08 21:52:06.532032,99,10.0.2.213,172.16.6.131,UDP,25,25,313090,3683
2025-09-08 13:42:20.532032,2025-09-08 13:45:47.532032,207,10.0.6.103,172.16.9.149,TCP,25,110,111633,613
2025-09-09 02:25:51.532032,2025-09-09 02:30:42.532032,291,10.0.7.153,172.16.6.5,ICMP,22,443,537539,423
2025-09-08 22:32:15.532032,2025-09-08 22:34:39.532032,144,10.0.10.228,172.16.10.126,UDP,80,110,346816,1090
2025-09-08 14:47:33.532032,2025-09-08 14:51:01.532032,208,10.0.5.150,172.16.9.224,TCP,80,3389,503121,589
2025-09-09 01:48:25.532032,2025-09-09 01:50:21.532032,116,10.0.4.50,172.16.6.125,UDP,3389,3389,967255,730
2025-09-09 00:59:00.532032,2025-09-09 01:03:20.532032,260,10.0.1.133,172.16.10.61,ICMP,25,443,554443,1226
2025-09-08 10:45:16.532032,2025-09-08 10:49:05.532032,229,10.0.9.173,172.16.1.32,UDP,443,22,283075,215
2025-09-09 04:55:27.532032,2025-09-09 04:57:27.532032,120,10.0.3.62,172.16.2.134,ICMP,80,80,284964,195
2025-09-08 22:00:39.532032,2025-09-08 22:01:53.532032,74,10.0.2.36,172.16.10.90,UDP,53,3389,181821,3030
2025-09-08 17:49:44.532032,2025-09-08 17:51:06.532032,82,10.0.6.115,172.16.8.118,UDP,3389,110,140184,180
2025-09-09 05:14:46.532032,2025-09-09 05:15:53.532032,67,10.0.0.30,172.16.7.19,ICMP,110,22,47933,63
2025-09-09 04:50:14.532032,2025-09-09 04:52:29.532032,135,10.0.4.185,172.16.0.159,TCP,110,110,534946,825
2025-09-09 02:18:08.532032,2025-09-09 02:20:51.532032,163,10.0.3.130,172.16.0.10,TCP,110,3389,510087,1765
2025-09-08 14:54:39.532032,2025-09-08 14:57:55.532032,196,10.0.7.71,172.16.0.101,UDP,80,53,861929,1972
2025-09-08 19:35:38.532032,2025-09-08 19:35:44.532032,6,10.0.0.63,172.16.2.161,ICMP,443,3389,851113,1490
2025-09-09 04:01:21.532032,2025-09-09 04:04:15.532032,174,10.0.9.134,172.16.4.44,ICMP,25,3389,560105,450
2025-09-08 18:39:04.532032,2025-09-08 18:40:14.532032,70,10.0.1.224,172.16.7.133,ICMP,3389,25,285036,448
2025-09-09 01:59:38.532032,2025-09-09 02:01:15.532032,97,10.0.7.178,172.16.10.48,ICMP,25,443,891052,865
2025-09-08 09:48:18.532032,2025-09-08 09:49:22.532032,64,10.0.1.230,172.16.2.219,UDP,110,25,737793,604
2025-09-08 14:36:59.532032,2025-09-08 14:37:58.532032,59,10.0.6.6,172.16.2.126,UDP,80,25,493302,375
